Type	Symbol	Name	ID	URL	Locus type	status
gene	A1BG	alpha-1-B glycoprotein	HGNC:5	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:5	Gene with protein product	Approved
gene	A1CF	APOBEC1 complementation factor	HGNC:24086	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:24086	Gene with protein product	Approved
gene	A2M	alpha-2-macroglobulin	HGNC:7	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7	Gene with protein product	Approved
gene	A2ML1	alpha-2-macroglobulin like 1	HGNC:23336	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:23336	Gene with protein product	Approved
gene	A3GALT2	alpha 1,3-galactosyltransferase 2	HGNC:30005	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:30005	Gene with protein product	Approved
gene	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	HGNC:18149	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:18149	Gene with protein product	Approved
gene	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	HGNC:17968	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:17968	Gene with protein product	Approved
gene	AAAS	aladin WD repeat nucleoporin	HGNC:13666	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:13666	Gene with protein product	Approved
gene	AACS	acetoacetyl-CoA synthetase	HGNC:21298	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:21298	Gene with protein product	Approved
gene	AADAC	arylacetamide deacetylase	HGNC:17	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:17	Gene with protein product	Approved
gene	AADACL2	arylacetamide deacetylase like 2	HGNC:24427	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:24427	Gene with protein product	Approved
gene	AADACL3	arylacetamide deacetylase like 3	HGNC:32037	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:32037	Gene with protein product	Approved
gene	AADACL4	arylacetamide deacetylase like 4	HGNC:32038	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:32038	Gene with protein product	Approved
gene	AADAT	aminoadipate aminotransferase	HGNC:17929	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:17929	Gene with protein product	Approved
gene	AAGAB	alpha and gamma adaptin binding protein	HGNC:25662	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:25662	Gene with protein product	Approved
gene	AAK1	AP2 associated kinase 1	HGNC:19679	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19679	Gene with protein product	Approved
gene	AAMDC	adipogenesis associated Mth938 domain containing	HGNC:30205	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:30205	Gene with protein product	Approved
gene	AAMP	angio associated migratory cell protein	HGNC:18	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:18	Gene with protein product	Approved
gene	AANAT	aralkylamine N-acetyltransferase	HGNC:19	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19	Gene with protein product	Approved
gene	AAR2	AAR2 splicing factor	HGNC:15886	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:15886	Gene with protein product	Approved
gene	AARD	alanine and arginine rich domain containing protein	HGNC:33842	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:33842	Gene with protein product	Approved
gene	AARS1	alanyl-tRNA synthetase 1	HGNC:20	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:20	Gene with protein product	Approved
gene	AARS2	alanyl-tRNA synthetase 2, mitochondrial	HGNC:21022	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:21022	Gene with protein product	Approved
gene	AARSD1	alanyl-tRNA synthetase domain containing 1	HGNC:28417	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:28417	Gene with protein product	Approved
gene	AASDH	aminoadipate-semialdehyde dehydrogenase	HGNC:23993	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:23993	Gene with protein product	Approved
gene	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	HGNC:14235	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:14235	Gene with protein product	Approved
gene	AASS	aminoadipate-semialdehyde synthase	HGNC:17366	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:17366	Gene with protein product	Approved
gene	AATF	apoptosis antagonizing transcription factor	HGNC:19235	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:19235	Gene with protein product	Approved
gene	AATK	apoptosis associated tyrosine kinase	HGNC:21	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:21	Gene with protein product	Approved
gene	ABAT	4-aminobutyrate aminotransferase	HGNC:23	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:23	Gene with protein product	Approved
gene	ABCA1	ATP binding cassette subfamily A member 1	HGNC:29	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:29	Gene with protein product	Approved
gene	ABCA2	ATP binding cassette subfamily A member 2	HGNC:32	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:32	Gene with protein product	Approved
gene	ABCA3	ATP binding cassette subfamily A member 3	HGNC:33	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:33	Gene with protein product	Approved
gene	ABCA4	ATP binding cassette subfamily A member 4	HGNC:34	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:34	Gene with protein product	Approved
gene	ABCA5	ATP binding cassette subfamily A member 5	HGNC:35	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:35	Gene with protein product	Approved
gene	ABCA6	ATP binding cassette subfamily A member 6	HGNC:36	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:36	Gene with protein product	Approved
gene	ABCA7	ATP binding cassette subfamily A member 7	HGNC:37	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:37	Gene with protein product	Approved
gene	ABCA8	ATP binding cassette subfamily A member 8	HGNC:38	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:38	Gene with protein product	Approved
gene	ABCA9	ATP binding cassette subfamily A member 9	HGNC:39	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:39	Gene with protein product	Approved
gene	ABCA10	ATP binding cassette subfamily A member 10	HGNC:30	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:30	Gene with protein product	Approved
gene	ABCA12	ATP binding cassette subfamily A member 12	HGNC:14637	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:14637	Gene with protein product	Approved
gene	ABCA13	ATP binding cassette subfamily A member 13	HGNC:14638	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:14638	Gene with protein product	Approved
gene	ABCB1	ATP binding cassette subfamily B member 1	HGNC:40	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:40	Gene with protein product	Approved
gene	ABCB4	ATP binding cassette subfamily B member 4	HGNC:45	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:45	Gene with protein product	Approved
gene	ABCB5	ATP binding cassette subfamily B member 5	HGNC:46	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:46	Gene with protein product	Approved
gene	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	HGNC:47	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:47	Gene with protein product	Approved
gene	ABCB7	ATP binding cassette subfamily B member 7	HGNC:48	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:48	Gene with protein product	Approved
gene	ABCB8	ATP binding cassette subfamily B member 8	HGNC:49	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:49	Gene with protein product	Approved
gene	ABCB9	ATP binding cassette subfamily B member 9	HGNC:50	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:50	Gene with protein product	Approved
