"","mRNAProportions.Bcells","mRNAProportions.CAFs","mRNAProportions.CD4_Tcells","mRNAProportions.CD8_Tcells","mRNAProportions.Endothelial","mRNAProportions.Macrophages","mRNAProportions.NKcells","mRNAProportions.otherCells","cellFractions.Bcells","cellFractions.CAFs","cellFractions.CD4_Tcells","cellFractions.CD8_Tcells","cellFractions.Endothelial","cellFractions.Macrophages","cellFractions.NKcells","cellFractions.otherCells","fit.gof.convergeCode","fit.gof.convergeMessage","fit.gof.RMSE_weighted","fit.gof.Root_mean_squared_geneExpr_weighted","fit.gof.spearmanR","fit.gof.spearmanP","fit.gof.pearsonR","fit.gof.pearsonP","fit.gof.regline_a_x","fit.gof.regline_b","fit.gof.regline_a_x_through0","fit.gof.sum_mRNAProportions"
"GTEX.S4Q7.0003.SM.3NM8M",0.390208202133779,0.000133217902898444,1.30608504743336e-08,2.24520836775069e-07,1.98703603234842e-06,0.000791774118911823,0.000217741439316897,0.608646839787374,0.3894882230063,0.00013350398890839,1.32478731841809e-08,2.27735826135324e-07,1.99130320063245e-06,0.000223576911011878,0.000198552356668618,0.609953911450211,0,"",160.499698227578,246.594030063146,0.618428759946154,2.42249271104336e-11,0.750408189352604,2.06511580456902e-18,0.544501441334194,11.8590540725044,0.560060411055319,0.391353160212626
"GTEX.QV31.1626.SM.2S1QC",0.00192353263712149,0.0478400727548122,0.0486525981149802,0.0244278451508278,0.0524050303806514,0.00633147119894467,2.53287487583914e-09,0.818419447229787,0.00192292148006605,0.0480161721926374,0.0494247858915632,0.0248155507239023,0.0525979334399035,0.00179058251948014,2.31319235226632e-09,0.821432051439255,0,"",181.126897305368,222.074801213264,0.562875350547612,2.89990836485474e-09,0.630653150410259,7.42304831709236e-12,0.441267729885184,8.51364906709608,0.464761468092906,0.181580552770213
"GTEX.13QIC.0011.R1a.SM.5O9CJ",0.000752215496945236,0.000885824291294131,0.0306430217443465,0.0259150045716556,0.0684469392322515,0.00834315323506081,1.78529346110795e-08,0.865013823575512,0.000753216973759353,0.000890551665392961,0.0311807228809739,0.0263697419513481,0.0688122196731367,0.00236339196943411,1.63314015273983e-08,0.869630138554554,0,"",204.293364697638,205.318593618189,0.375696956379079,0.000175582092475207,0.0560799099828086,0.589342955204894,0.00817937765529368,8.48145956433814,0.0254603298757686,0.134986176424488
"GTEX.ZPCL.0126.SM.4WWC8",0.00059486907071618,0.01582459348683,0.0130840326335364,0.0793046700419104,0.164879060712824,0.0247305870110384,0.000258992662435107,0.70132319438071,0.00060254092023922,0.0160927932779034,0.0134673933258836,0.0816282880016905,0.167673478760425,0.00708642664365437,0.000239656182936531,0.713209422887267,0,"",111.299827642859,128.81505684402,0.545221672811544,1.11045526878158e-08,0.384088462827255,0.000121760910024158,0.21551234909486,16.957604174124,0.313868529135388,0.29867680561929
"GTEX.S33H.1226.SM.4AD69",0.00047961407537855,0.00191971478741113,0.0189385548228331,0.00594703624347621,0.00859111167106529,0.00130399904218472,6.82007674331618e-10,0.962819968675643,0.00047800738429799,0.00192093694243212,0.0191807811174154,0.00602309952108528,0.00859658106179642,0.000367661090968448,6.20966208701292e-10,0.963432932261038,0,"",23.3429654582087,24.2298380343328,0.433539122656121,1.14030959872075e-05,0.185058761930013,0.0725910808992824,0.0623126585615338,2.38238721605233,0.128449478741278,0.0371800313243567
"GTEX.X88G.0426.SM.47JZ5",0.00254168798881833,0.0599949166137377,0.0544500434614295,0.0258100057322319,0.108891126632464,0.0248725929116138,2.41800080312344e-08,0.723439602479697,0.00257507946345262,0.0610262333837583,0.0560587484596073,0.0265725521433078,0.110762972637777,0.00712881220222226,2.23800400757654e-08,0.735875579329835,0,"",212.509045101373,268.403112136695,0.65733712674369,4.64352706786929e-13,0.59629688250191,1.81890935225842e-10,0.331721192474112,17.9329363577792,0.362576351797217,0.276560397520303
"GTEX.ZAKK.0326.SM.5EGHA",0.00422362090515896,0.0149689152653094,0.0706250670818883,0.0359578871473307,0.0585479762722292,0.0155816764466654,4.16849037470461e-08,0.800094815196514,0.00424891550789924,0.0151187959965901,0.0721986049015666,0.036759034639006,0.0591342053571799,0.00443440198144302,3.83096326532089e-08,0.808106003306683,0,"",145.029529646776,152.468748364048,0.499588792210629,2.54985973457085e-07,0.319712076616905,0.00158723543902362,0.122941958020408,14.5426003530773,0.186415015372378,0.199905184803486
"GTEX.1399S.1726.SM.5L3DI",0.00174937305598064,0.0121295440374915,0.110167731454145,0.0115069539132307,0.264038845362271,0.0638198747948594,6.80806176070267e-09,0.53658767057396,0.00182329677471215,0.0126926738013177,0.116682602043637,0.0121874282647894,0.276297190125289,0.0188173555910996,6.48237928103801e-09,0.561499446916776,0,"",132.729762851015,162.92145155642,0.644146445609601,1.89089637980983e-12,0.519796044325204,6.73631622539881e-08,0.313642920583913,20.951847973927,0.395645412802455,0.46341232942604
"GTEX.ZF29.0926.SM.4WKFZ",4.4154612182856e-08,0.00823363870012244,0.179569181020055,0.0394292943351248,0.0444339231132981,0.00214733426090929,1.39625659609127e-09,0.726186583019621,4.39296008246257e-08,0.008224446899735,0.181547282476326,0.0398636402741159,0.0443843183435768,0.00060437786360396,1.26906083247026e-09,0.725375888943981,0,"",87.5495215068884,94.8221291119229,0.391952378076514,8.5622940367114e-05,0.186620518651732,0.0701693783277793,0.0639100238059448,13.5853132601334,0.128039959907957,0.273813416980379
"GTEX.13W3W.2626.SM.5SIA2",0.00196555425523025,0.000682480886245966,0.0257204881996911,0.0124320919147154,0.0332255686903258,0.00156316729377881,2.72576658174078e-10,0.924410648487436,0.00195903033604987,0.000682936509840845,0.0260502623211676,0.0125914894408223,0.0332477500485934,0.000440746932315391,2.48188016463655e-10,0.925027784163023,0,"",48.8577633177278,49.9097910519253,0.321369952340796,0.0014955603496963,0.144992382705281,0.160938325581577,0.0416719792148499,4.05404148852984,0.0895491173605085,0.075589351512564
"GTEX.WQUQ.2526.SM.4MVNO",0.0109821763609252,0.0281475095502503,0.076842920810692,0.0208944744619082,0.0938035424138504,0.02120392869461,4.62467992122747e-09,0.748125443083084,0.0110947022948454,0.0285496591433482,0.0788874416389688,0.0214504032030672,0.0951437340334865,0.00605998135736373,4.26820175565975e-09,0.758814074060718,0,"",152.808506612711,173.580298631288,0.492685965645642,3.94096816157673e-07,0.419549893059107,2.31492176839083e-05,0.231277949998902,16.2198658505346,0.300815347203193,0.251874556916916
"GTEX.P44H.0526.SM.2XCF1",0.000569298675188131,0.01557037530075,0.0700073827507531,0.0408643572578471,0.176388150679377,0.0165472044746199,8.68256666279493e-09,0.680053222178898,0.000573070924138076,0.0157362408708717,0.0716124960018867,0.0418012858896052,0.178267149779273,0.00471216563883511,7.98458498775116e-09,0.687297582910805,0,"",113.637998175661,130.706127586577,0.538968225917265,1.75425621181088e-08,0.387537108574904,0.000104453165245366,0.220468664080403,16.097695995489,0.316044155361921,0.319946777821102
"GTEX.11ONC.2326.SM.5HL6P",0.000346879630071026,0.0377649521847087,0.0573402750883115,0.0359756276189074,0.142260302814738,0.0223668951953495,3.32283529770005e-05,0.703911839114937,0.000350736082748342,0.0383375452669215,0.0589166697075667,0.0369646669235747,0.144417256830376,0.00639786491401242,3.06935050378997e-05,0.714584566769762,0,"",142.04674830528,179.332124752579,0.695105947508903,5.49917478055683e-15,0.563720701662562,2.71393689513227e-09,0.343945838145848,13.8464603622835,0.392142271963504,0.296088160885063
"GTEX.TSE9.0126.SM.3DB83",9.13325285245154e-05,0.00750646027664173,0.185058008796012,0.0281061017619432,0.0560554611858816,0.00275780813014934,1.37352241733162e-11,0.720424827307113,9.09133847506468e-05,0.00750189963159564,0.187191876981911,0.0284301877972877,0.0560214039802291,0.000776594136060612,1.24903359088697e-11,0.719987124075675,0,"",75.1277565964859,84.086620612371,0.449316699073998,4.93727151071711e-06,0.250609478784711,0.014304375908924,0.111359082003669,12.8741754114547,0.204956096933917,0.279575172692887
"GTEX.R55F.0226.SM.48FCI",0.0030053759444606,0.0285644211451801,0.0515625107323206,0.026248671914461,0.267951562718359,0.00764509464232234,4.6682741043399e-09,0.615022358234623,0.00300710825034659,0.0286952092888639,0.0524277332113755,0.0266891264358405,0.269178434682856,0.00216401783554266,4.26719633151887e-09,0.617838366027979,0,"",145.418424786617,177.997441199502,0.650050569882555,1.01721065552717e-12,0.555789013347417,5.01803798380911e-09,0.370188454418075,14.0442593723495,0.426823584398684,0.384977641765377
"GTEX.13O3P.0226.SM.5KM3Z",0.000885686015397387,0.0196134494678862,0.0492512470835096,0.0126788161697283,0.37165451254051,0.0198006234604254,5.46332010014435e-09,0.526115659799223,0.000894204786574437,0.0198813053959092,0.0505302215906789,0.013008064333428,0.376730104395144,0.00565540591051366,5.03906395227688e-09,0.533300688548688,0,"",115.753248480598,158.976474647941,0.649831496974995,1.04113553156968e-12,0.624554655316753,1.3478701657053e-11,0.391764177986445,16.4996799070993,0.44305598090315,0.473884340200777
"GTEX.VJYA.0005.SM.3P5ZD",0.00409770224446829,2.77530183849731e-08,0.0282939511416955,0.0066643990891814,0.0042459069055214,0.0293657614531043,0.00275618442078506,0.924576066992226,0.00416863203216585,2.83463470464224e-08,0.0292498424532047,0.00688955114213701,0.00433667967214255,0.00845127325088292,0.00256151826915827,0.944342474833962,0,"",26.6972129644567,37.5779876377666,0.547087536037,9.67067032845069e-09,0.60437611306726,8.87117495223845e-11,0.480794171736645,4.93954276223865,0.527416460306146,0.0754239330077743
"GTEX.PWCY.1326.SM.48TCU",0.000897914510381574,0.0428395602178113,0.0691238341562793,0.017072880802666,0.0510639012499219,0.0149422210456931,1.69324801513652e-10,0.804059687847922,0.000903086819901478,0.0432586767702273,0.0706478747709713,0.0174493032634663,0.0515634798201958,0.00425145302077094,1.55579048018884e-10,0.811926125378888,0,"",120.600549310147,167.721854437951,0.459619421011774,2.79342904895018e-06,0.654620649265163,6.23590698861164e-13,0.528733295737854,9.8449460762984,0.563346549222535,0.195940312152078
