"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE","Absolute score (sig.score)"
"GTEX.S4Q7.0003.SM.3NM8M",0.00331507284153413,0.224755770259616,0.0294231675878381,0,0,0,0.00202524223834753,0.00865979413494298,0.0044757406543714,0.00169307631336776,0,0.00675222521970173,0.000275983314565892,0,0,0,0,0.0388666752999346,0,0.00262743167381779,0.00789519456883333,0,9999,0.416850882266284,0.917645422295623,0.330765374106871
"GTEX.QV31.1626.SM.2S1QC",0.00440016985754084,0,0.00309569798088584,0.00487536425996048,0,0.021594084783985,0,0.00170376931009381,0.00146576193913838,0,0.000796487448488883,0.00422365215640361,0.00995529973866203,0,0.0019993539651405,0.0505223296255,0,0,0.0314806045053065,0,0,0.0012495735744315,9999,0.0206050905878403,1.08334721627535,0.137362149145537
"GTEX.13QIC.0011.R1a.SM.5O9CJ",0.0247539264819868,0,0.00980435518355208,0.00170654553499197,0.00071121545386536,0,0,0.0085847440295929,0,0,0.00447686047269499,0.00101116177106968,0.0432782330823847,0,0,0.0271547709272632,0,0,0.000365562418410595,0,0.000894335012182944,0.00143549277486019,9999,0.0056290116561818,1.10046911520787,0.124177203142855
"GTEX.ZPCL.0126.SM.4WWC8",0.0125700163088302,0,0.00210519400415802,0.0700821227603415,0,0.0634558306329075,0,0.00516236500018255,0,0,0.0185002834223623,0.00353076619605772,0.0580736564650188,0,0.00747789154516412,0.107577238805595,0,0,0.00421646718822377,0,0,0,9999,0.0317405807417293,1.08624477488554,0.352751832328842
"GTEX.S33H.1226.SM.4AD69",0.0054905538564972,0,0,0.00889270067393128,0,0.012656474026227,0,0.00253852396458901,0.000417457194619927,0,0,0.0122931483353645,0.00597312495439638,3.45490381170791e-05,0.000715002446136273,0.00883209931225226,0,0,0.0157806896868741,0,0,0,9999,-0.0355571334611668,1.12761089407298,0.073624323489005
"GTEX.X88G.0426.SM.47JZ5",0.0131541191690531,0,0.0207645349357948,0.0293682850671435,0,0.0243643499464755,0,0.0237773155280374,0,0,0.00763518318572992,0.0318140290806412,0.066334004282045,0,0.0203272530003553,0.159964506040157,0,0,0,0.0480841562372623,0,0.00934880618211969,9999,0.124417628237917,1.04682545524628,0.454936542654815
"GTEX.ZAKK.0326.SM.5EGHA",0.00645650904324687,0,0.014457508630605,0.0126775366418113,0,0.00224746904003733,0,0.000584587539252228,0,0,0.00940919370360073,0.00641826618172381,0.0126588622754141,0,0.00634802544617418,0.0511991228754145,0,0,0.0489701991780233,0,0,0,9999,0.0206488355077477,1.08452057846714,0.171427280555303
"GTEX.1399S.1726.SM.5L3DI",0.0425256293875575,0,0.0171744393974687,0.0557977742129156,0,0.169345919176642,0,0,0,0,0.0404774059820198,0,0.308233846115791,0.0114551336151287,0,0.148354273000752,0,0.0281150251155344,0.115616418557499,0,0,0.0485924188904708,9999,0.369522745182696,0.93159305609698,0.985688283451779
"GTEX.ZF29.0926.SM.4WKFZ",0,0,0.00141829558637254,0.0370145716819601,0,0.0280964949703925,0,0.0240839419505728,0.0021634427101502,0,0,0.00233365373664991,0.0122766893862502,0.00708721659154557,0.00212017855813691,0.012884013740328,0.000909282575404106,0,0.0314074645923876,0,0,0.00523948837662437,9999,0.0442167146384158,1.0810904733506,0.167034734456775
"GTEX.13W3W.2626.SM.5SIA2",0.00649114779734349,0,0.00749942462954938,0.00733392524039433,0,0,0,0.00127750398344287,0,0,0.00570501261162859,0.0014226465448761,0.016267186207025,0,0,0.0038319276313803,0,0.000255040786755957,0.00517685551978051,0,0,0.00847526388781086,9999,-0.0296043025177273,1.1092234621666,0.0637359348399874
"GTEX.WQUQ.2526.SM.4MVNO",0.0600740566185701,0.023735174816671,0.0616724768641089,0.0282453526183294,0,0.0546366983901896,0,0.0393810538061669,0,0,0,0.0186184221913946,0.0098190023447878,0,0.00587548366120933,0.128871462218851,0,0,0.0437948680050979,0,0,0,9999,0.176324198269221,1.00357528771024,0.474724051535376
"GTEX.P44H.0526.SM.2XCF1",0.0811685511631726,0,0.00356731758829449,0,0.00373356001160217,0.029819338862923,0,0.0122969836581077,0,0,0.0185853466476948,0,0.0554493744625627,0,0.000788535015801587,0.159788136600917,0,0,0.0455584281307118,0,0,0.0419725556020463,9999,0.14352705014934,1.03536076966529,0.452728127743834
"GTEX.11ONC.2326.SM.5HL6P",0.0380309536763887,0,0,0.105356019425603,0,0.0966737325335698,0,0.0323780960526759,0,0,0.00300466416937348,0.0148496315044777,0.0433809367126639,0,0.0748473019106606,0.125331318128052,0.00620235695126192,0,0.0368557820814166,0,0,0,9999,0.146128410367286,1.03467470574416,0.576910793146143
"GTEX.TSE9.0126.SM.3DB83",0.0286458238676071,0,0.00128049462514606,0.0169841110274074,0.0317242202168594,0.0243413329188215,0,0.00740167613047506,0.00230685246852632,0,0.0338348257231254,0,0.015264307705976,0.00694719450292795,0,0.0819868065387637,0.0183594306644255,0,0.0432538975696322,0,0,0.00634920798552088,9999,0.0201599624196867,1.06969238519031,0.318680181945214
"GTEX.R55F.0226.SM.48FCI",0.0440063983069176,0,0,0.0291899209339706,0,0.0443112654104482,0,0.0517999919881036,0,0,0.0162961473120237,0,0.00905076480465885,0,0.00645510162358591,0.18596769312952,0,0,0.0129222032071491,0,0,0,9999,0.0631818704233754,1.07142182300117,0.399999486716378
"GTEX.13O3P.0226.SM.5KM3Z",0.0147438555842895,0,0.00113084390412862,0.00481213973228418,0,0.048209936846147,0,0,0,0,0.0383152044146386,1.61473595686383e-05,0.0762061032298008,0,0.00409197880445051,0.125623915264757,0,9.57840221054972e-05,0.0358670775181645,0,0,0.0332959466518848,9999,0.104862483611951,1.05727793573433,0.38240893333222
"GTEX.VJYA.0005.SM.3P5ZD",0.00450983489077636,0,0,0.00700489460953452,0.00940753939290652,0,0,0,0.0071422411375082,0,0,0.00287821851855729,0.0635036233737477,0.00647463543734342,0,0,0,0,0.00765978659604295,0,0,0.0826199204742649,9999,0.565427003380712,0.851194019585606,0.191200694430682
"GTEX.PWCY.1326.SM.48TCU",0.0164683459216928,0,0.0010355522926041,0,0,0.0456629652255685,0,0.0118543338909279,0,0,0.00567302618397302,0.00880086058936627,0.0117295728262665,0,0,0.034378093410935,0,0,0.00560194440877218,0,0.000550656150335693,0,9999,0.034001544234427,1.07741290564504,0.141755350900442
"GTEX.POMQ.0006.SM.5SI7D",0.00682286718165001,0,0,0.00245361257579196,0.0148769012168375,0,0,0,0.00759471236594154,0.000656220912003597,0.00793584808986307,0,0.0211910926470363,0,0,0.00298003250325701,0,0,0.0066395545183281,0,0,0.18599111486316,9999,0.638613115688664,0.850105438168839,0.257141956873869
"GTEX.Y9LG.0426.SM.4VBRT",0.0151896153609939,0,0,0.0452431857481227,0,0.0793042354418144,0,0.0173951395899446,0,0,0.00817131739911283,0.00561119032047596,0.0177869833969796,0,0.0278479831119595,0.107306740060028,0,0,0.00581200857309286,0,0,0,9999,0.0345392910282391,1.08473125524894,0.329668399002524
"GTEX.147F4.1226.SM.5NQAY",0.00722906021333247,0,0.0017161669323313,0,0,0.000128427235570909,0,0.0063263044155522,0,0,0.00490834062892804,0.00228512962124761,0.00991041288857092,0,0.00182269021286924,0.00252651067828913,0,0,0.00168590130447212,0,0,0.00761389774913231,9999,0.0350326031467379,1.09382233990129,0.0461528418802962
"GTEX.QXCU.0626.SM.2TC69",0.0327361159370425,0,0.0374417994149245,0.0502717723601957,0,0.134093197092325,0,0,0,0,0.0812565273492604,0,0.142975455506829,0,0.0115115695417274,0.165896708330141,0,0.000379040606268934,0.0706102009964468,0,0,0.0266627464683854,9999,0.187159025753108,1.00710912154067,0.753835133603547
"GTEX.1269C.2626.SM.5EQ5C",0.0055046417074016,0,0.0129221697917447,0.000732612724573537,0,0.002906211209743,0,0.00271074698009187,0,0,0.000235377247406477,0.00584816454031362,0.00577279592363449,0,3.76578920532134e-05,0.00565627208390784,0,0.00067840697219847,0.000868710007015668,0,0.00014774402085319,0.00213133077935858,9999,-0.0314365127534235,1.08229495521994,0.0461528418802962
"GTEX.12WSK.2326.SM.5GCOH",0.00498166800501876,0,0,0.00552439396491428,0,0.0377316256215763,0,0.0276939410695583,0,0,0,0.0129888026765006,0.00882255309744311,0,0.00277971374486468,0.0152163999107626,0.0248820306533732,0,0.0560801781678528,0,0,0,9999,0.0245936933843683,1.08249089821469,0.196701306911865
"GTEX.P4PQ.0126.SM.2S1NM",0.0125707335084972,0,0,0.00359597917874866,0.00892325569761903,0,0,0.0243369158462372,0,0,0.00300508884527159,0.0079704828449663,0.00185654537304564,0,0,0.0705535332899796,0,0.00183875579676511,0.124261751981674,0,0,0.000423052945822075,9999,0.369456104260434,0.948596462171694,0.259336095308626
