"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE","Absolute score (sig.score)"
"TCGA.19.1787.01",0.000431339043404733,0.000511889197021732,0,0.0154276618773708,0,0.0349110247327778,0,0.00771182826967378,0.00961391714672365,0,0.000422231795724187,0,0.0036700885399873,0.00413451355459131,0.00288009372715313,0.173162668859284,0,0.00264895800677415,0.0126769356344623,0,0,0.00341119506408562,9999,0.128732942897205,1.07353738741652,0.271614345449035
"TCGA.S9.A7J2.01",0.00809368218258226,0,0.0025999535765837,0.00168930651235428,0,0.00488113908502914,0,0.0096861519185327,0,0,0,0.00841026074580125,0.0431103904640652,0,0,0.0210974556782479,0,0,0,0.0199636750728477,0.000768974070762401,0,9999,0.0703428000160971,1.08598102462829,0.120300989306807
"TCGA.G3.A3CH.11",0.00747215896682219,0,0.00859777312782256,0.0389557833651742,0,0.0304294878701174,0,0.00480702399730221,0.00658434209833717,0.00102918092858871,0,0.00419824480814993,0.00296739868928299,0,0.0213205762953611,0.0514630715411861,0,0,0,0,0,0.00262471754981983,9999,0.0411973776520485,1.08580670866094,0.180449759237964
"TCGA.EK.A2RE.01",0,0,0.00188400629753684,0,0,0.0300481039739398,0,0.00252935303127264,0.00101114282873086,0,0.00924460913069098,0,0.00272171102710557,0.0485405592549834,0,0.000981094519714751,0.000138497379542306,0.00123421809955406,0,0.0347516166151576,0.00131370234772345,0,9999,0.101036983646932,1.106156902697,0.134398614505952
"TCGA.44.6778.01",0.0620774302505316,0.010259310158597,0.0597468800598571,0.0922850275307003,0,0.319270266357557,0,0.075931275534537,0,0,0,0.0209001964957451,0.0137951279794155,0.138707462115204,0.108699228660483,0.402504144889735,0.0116680735082097,0,0,0.0836556665200587,0,0.0168200805491267,9999,0.337748518281358,0.945702235049635,1.41632017060976
"TCGA.F4.6854.01",0.00535756067640213,0,0.0282492009869318,0.0349939950899557,0,0.0544748443801766,0,0.0155321724384465,0.00554643110171359,0,0,0.0143830981898164,0.00608776290368125,0.0504895558274039,0.0209207706070517,0.0555088940629528,0,0,0.00263283403486738,0,0,0,9999,0.14326815183065,1.03208357940829,0.2941771202994
"TCGA.AB.2863.03",0.035822045400617,0,0.0621942329761172,0.00294217223789092,0,0.0476942234411154,0,0,0,0,0.00999810344235297,0,0.10733540179282,0,0,0.016529050829288,0,0.00128455485709803,0.00632770652293546,0.0031735536731731,0.00839749101232263,0,9999,0.208331500948067,0.999559413909719,0.301698536185731
"TCGA.C8.A1HL.01",0.0120367221462589,0,0.0160352253727738,0.0089355894094448,0,0.00659605112184653,0,0.00348735743998985,0.000862654001812477,0.00249609195390575,0,0.000718574895643205,0,0.0471088606903457,0.00465748662058969,0.0885662898068599,0,0,0.00758473028067731,0,0,0.001103168536959,9999,0.379429639881236,0.937881588237507,0.200188802277107
"TCGA.EW.A2FS.01",0.0164301083640557,0.00462191680771834,0.127657260795917,0.0368539923268494,0,0.0401837506599245,0,0.0478288998997113,0,0.00596086136732516,0,0.0176893440941319,0.00844221278946821,0,0.0230726473522923,0.0517208650413028,0.00960141427448118,0,0,0.00748258114720446,0,0,9999,0.333423326388062,0.943455392560225,0.397545854920382
"TCGA.IR.A3L7.01",0.00752305741195851,0,0,0.0236575647820184,0,0.000290974298875887,0,0.00321917215992518,0.0139172631945563,0,0,0.00652912255078782,0.0177605936269183,0,0.00102577326293938,0.0412007551029593,0.00147023869769893,0.00507348529221769,0.0146092416975364,0,0,0,9999,0.0100369046944945,1.07894035508146,0.136277242078392
